id,name,description,rarity,category,weight,flavor
fish_common_carp,鲫鱼,最常见的水边居民，提供稳定的基础反馈。,common,fish,50,一条鲫鱼稳稳落进桶里，今天不算空军。
fish_grass_carp,草鱼,草食性大鱼，是普通鱼池里的常客。,common,fish,50,草鱼甩了一脸水花，你差点没站稳。
fish_white_bait,白条,银光一闪的小鱼，上钩速度快得离谱。,common,fish,50,白条来得太快，你怀疑它是不是自愿上钩的。
fish_carp,鲤鱼,象征好运的入门款，适合当第一竿的安慰奖。,common,fish,50,鲤鱼入桶，水面还泛着一圈金红色的涟漪。
fish_sunfish,太阳鱼,晒太阳时被顺便钓上来的倒霉蛋。,common,fish,50,它看起来还没睡醒，眼神有点懵。
fish_catfish,鲶鱼,长须子扫过手背，触感意外真实。,common,fish,50,鲶鱼胡须蹭了蹭你，像在打招呼。
fish_rare_golden,金鳞鲫鱼,鳞片像碎金一样反光，是普通池里的第一个小惊喜。,rare,fish,25,金光一闪——你下意识屏住了呼吸。
fish_rare_glow,发光鲶鱼,肚皮泛着幽蓝微光，像水底的萤火虫。,rare,fish,25,幽蓝的光映在你脸上，安静了几秒。
fish_epic_ghost,幽灵鱼,半透明身体，传说只在月圆夜出现。,epic,fish,10,它安静悬在水面，像一段凝固的记忆。
fish_legendary_king,鱼王,整片水域的霸主，钓上来一次就够吹一年。,legendary,fish,5,水面猛然一沉，然后一切安静——鱼王俯视着你。
fish_legendary_talk,来自大湾区的鱼,开口第一句是：「放我返去啦，我请你饮茶。」,rare,fish,25,鱼眨了眨眼：「今日啲水温几啱喎，系咪呀？」
trash_old_shoe,拖鞋,单只，尺码不明，幽默感拉满。,common,trash,50,一只拖鞋挂着水草，像刚从时尚深海归来。
trash_can,易拉罐,拉环还在，里面可能藏着十年前的气泡。,common,trash,50,易拉罐哐当一声，回声在水面荡开。
trash_plastic_bag,塑料袋,白色半透明，环保教育的活教材。,rare,trash,25,塑料袋飘上来，像一朵不合时宜的云。
trash_umbrella,半截雨伞,伞骨折断，显然经历过一场激烈战斗。,rare,trash,25,半截雨伞展开了一半，倔强地宣告它的存在。
trash_phone,泡水的旧手机,屏幕还亮着，壁纸是一只小猫。,rare,trash,25,旧手机震了一下，通知栏写着：「记得收竿。」
chest_wooden,破旧木箱,白皮书记载的经典首秀——盲盒感的起点。,rare,chest,25,木箱卡在水草间，锁扣已经锈死，但期待已经拉满。
chest_iron,锈迹斑斑的铁箱,比木箱沉，比木箱难开，比木箱更值得期待。,rare,chest,25,铁箱砸在桶底，闷响一声，里面显然有东西。
chest_sunken,沉船宝箱,边角缠着贝壳与海藻，像从故事里浮上来。,epic,chest,10,宝箱带出一串气泡，仿佛某个秘密刚刚浮出水面。
item_rusty_key,生锈的钥匙,不知道能开哪扇门，但你知道你想找到那扇门。,rare,item,25,钥匙挂在钩上轻轻晃，像在催你去某个地方。
item_bottle_letter,漂流瓶里的信,字迹被水泡过，大意是「别放弃，下一竿会更好」。,rare,item,25,瓶塞弹开，信纸展开，风从河上吹过来。
item_prophecy_paper,奇怪预言纸片,写着：「只有绫波丽才是女神！」,rare,item,25,纸片湿漉漉的，字迹却清晰得像刚写上去。
item_mysterious_orb,神秘水珠,触手冰凉，在掌心慢慢变成普通的自来水。,epic,item,10,水珠在掌心转了一圈，然后非常普通地消失了。
item_fishing_charm,幸运符,用防水布包着，上面写着「超级桃花运」！,epic,item,10,你戴上了幸运符。
absurd_rubber_duck,打嗝橡皮鸭,每过一分钟打嗝一次，至今没人解释原理。,epic,absurd,10,橡皮鸭浮在水面，然后——嗝。
absurd_empty_note,空军预言纸条,上面写着「今天你必空军」，你决定当场再钓一竿。,epic,absurd,10,纸条展开，字迹嚣张，你莫名被激起了胜负心。
absurd_selfie_stick,一张照片,是何伟的自拍,common,absurd,50,照片里，何伟笑得很开心！
hidden_blessed_hook,半本小说,作者处「比格大魔王」，是一段爱情故事，但没有结尾。,common,hidden,50,你被小说的内容吸引住了。
hidden_memory_card,水底摄影师存储卡,里面有不可描述的照片。,epic,hidden,10,你被里面的照片吸引住了。
limited_spring_fish,春节红包鱼,肚皮上印着迷你红包，限定春节池。,legendary,limited,5,红包鱼扭了一下，像在说：恭喜发财，再来一竿。
limited_moon_lantern,陈胜鱼,鱼腹里的纸条上写着「大楚兴，陈胜王」,common,limited,50,你赶紧把纸条收了起来。
event_water_ripple,水面异动,什么也没钓上来，但水面明显动了一下——悬念本身。,rare,event,25,水面荡开一圈涟漪，然后什么都没发生……你更想再投一竿了。
event_almost_bite,虚晃一枪,鱼线猛地一沉又弹回，差一点就揭晓答案。,rare,event,25,鱼线颤了三下，然后彻底安静——比钓到东西更让人坐不住。
event_strange_splash,异响水花,远处传来「扑通」一声，像有什么大家伙刚刚路过。,rare,event,25,远处水花炸开，你盯着那片水面，心跳快了一拍。
